Nps,DeliveryRatio,DeliveryPerformance,Ts,Rs=(rc max - rc min)/rc max,rcmin,Messages,MessagesEpidemic,RB^2,Save less energy
0,0.8022,0.4031915562,,0,30,15917,8000,900,
0.1,0.7885,0.5830992425,0.6,0.1666666667,25,15578,8000,900,
0.2,0.772,0.8289432182,0.6666666667,0.3,21,15205,8000,900,
0.3,0.75,1.122561236,0.75,0.4,18,14847,8000,900,
0.4,0.706,1.675094535,0.8,0.5,15,13487,8000,900,
0.5,0.6484,1.763183084,0.8823529412,0.5666666667,13,9792,5000,900,
0.6,0.4511,1.955008026,0.9,0.6666666667,10,623,300,900,
0.7,0.3852,2.303093112,0.9545454545,0.7333333333,8,588,250,900,
0.8,0.2852,2.416039157,0.9230769231,0.8666666667,4,664,100,900,
0.9,0.1852,2.510240964,0.9642857143,0.9333333333,2,664,40,900,
1,0.0852,2.887048193,1,0.9666666667,1,664,25,900,Save more energy
