Density	Epidemic	Non-predictable	Predictable 
0	0	0	0
3.539	0.5192307692	0.8818681319	0.1868131868
17.693	14.73351648	14.05494505	11.71978022
35.386	36.50549451	29.09340659	19.14010989
70.771	72.18681319	54.92032967	24.52197802
106.157	113.1730769	83.47802198	39.73076923
141.543	147.9450549	111.2582418	60.05769231
176.929	167.5137363	119.6291209	61.72252747
212.314	208.1510989	145.2417582	76.78021978
247.7	239.2142857	173.0137363	90.72527473
283.086	280.0054945	199.2554945	103.989011
318.471	336.8736264	233.3434066	125.5604396
353.857	341.3021978	236.3681319	127.9532967
